trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-76.32255405472343,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-27.415484739203308,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,13,-21.2527687842177,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-67.47891074521063,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,6,-57.91527623409969,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-58.24465736744814,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,9,-50.520507265581735,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,5,-37.4595796040798,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,15,-39.03240609281237,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-37.94818143121796,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,19,0.431095639668823,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-135.1289446922692,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-132.6142353007583,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,3,-44.619371541015326,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-29.871306550427256,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-40.803787631062804,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,15,-27.60154289749366,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-33.86846438458203,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,6,20.78318828417275,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,33.063892748868234,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,5.225591948566037,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,19,21.592272211809977,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,7.276898345952218,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,19,16.447947724209527,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,11.656418023481587,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,7,20.07177743130224,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-28.419945228968047,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,11,2.558294451149213,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-10.12491813553193,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,11,-30.7303645581066,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
