trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.792, 'e': 1.0}",25,0,-172.80874532120157,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.78408, 'e': 0.7071067811865475}",30,8,-49.67171725567657,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.7762392, 'e': 0.5773502691896258}",35,0,-174.60963368280625,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.768476808, 'e': 0.5}",20,11,-32.204288843595315,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.76079203992, 'e': 0.4472135954999579}",30,0,-55.81884363271286,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.7531841195208, 'e': 0.4082482904638631}",20,6,-70.40773080727509,"{0: 9, 1: 0, 2: 1, 3: 4, 4: 0}",1
7,False,"{'a': 0.745652278325592, 'e': 0.3779644730092272}",30,0,-315.55049456591195,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 7}",0
8,False,"{'a': 0.7381957555423361, 'e': 0.35355339059327373}",25,10,-29.357128070974962,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
9,False,"{'a': 0.7308137979869127, 'e': 0.3333333333333333}",20,0,-69.53910358793263,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.7235056600070435, 'e': 0.31622776601683794}",30,0,-64.20480346936819,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.7162706034069731, 'e': 0.30151134457776363}",25,0,-37.83897058251432,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.7091078973729034, 'e': 0.2886751345948129}",25,9,-101.66165851003248,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 1}",1
13,False,"{'a': 0.7020168183991743, 'e': 0.2773500981126146}",30,24,11.285245861251147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6949966502151825, 'e': 0.2672612419124244}",20,0,2.0935024742435804,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.6880466837130307, 'e': 0.2581988897471611}",30,6,13.624720030995864,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.6811662168759004, 'e': 0.25}",20,0,-55.10400639488973,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.6743545547071413, 'e': 0.24253562503633297}",20,11,9.021811569833929,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6676110091600699, 'e': 0.23570226039551587}",20,0,-40.11979549973128,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.6609348990684691, 'e': 0.22941573387056174}",20,0,7.027607311343301,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.6543255500777845, 'e': 0.22360679774997896}",20,0,26.513480049260018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.6477822945770066, 'e': 0.2182178902359924}",25,19,10.228172755892846,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.6413044716312366, 'e': 0.21320071635561041}",20,0,13.326388451123927,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.6348914269149243, 'e': 0.20851441405707477}",20,0,24.273945063851418,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.628542512645775, 'e': 0.20412414523193154}",25,13,-1.2475041110226002,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.6222570875193172, 'e': 0.2}",30,11,22.83540941153352,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.616034516644124, 'e': 0.19611613513818404}",20,0,-24.32218109226636,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
27,False,"{'a': 0.6098741714776827, 'e': 0.19245008972987526}",20,0,-11.793396343498094,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.6037754297629059, 'e': 0.1889822365046136}",30,0,-91.34098101774455,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.5977376754652768, 'e': 0.18569533817705186}",20,0,13.632102021129759,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.591760298710624, 'e': 0.18257418583505536}",30,0,-13.235074780739724,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.5858426957235178, 'e': 0.17960530202677488}",20,0,10.882258651546698,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5799842687662826, 'e': 0.17677669529663687}",35,0,-26.793980610365647,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 1}",0
33,False,"{'a': 0.5741844260786197, 'e': 0.17407765595569785}",20,0,32.11239996161265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5684425818178336, 'e': 0.17149858514250882}",25,0,20.776385416524928,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5627581559996553, 'e': 0.1690308509457033}",20,13,2.748644843145471,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5571305744396587, 'e': 0.16666666666666666}",30,0,15.589891676528858,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5515592686952622, 'e': 0.1643989873053573}",20,7,13.75074682909327,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5460436760083095, 'e': 0.16222142113076252}",35,0,36.62457327174852,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.5405832392482264, 'e': 0.16012815380508713}",25,10,23.416823135302234,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5351774068557441, 'e': 0.15811388300841897}",30,15,2.3058873537615834,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5298256327871866, 'e': 0.15617376188860607}",35,17,11.893745467983912,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.5245273764593148, 'e': 0.1543033499620919}",20,8,-44.87957404732079,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
